number	original_filename	statement_type	purpose
0342	0342_flooring_knowledge_customer_product_ft.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0343	0343_flooring_knowledge_customer_paren_ft.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0344	0344_flooring_knowledge_customer_paren_qty.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0345	0345_flooring_knowledge_customer_dash_paren.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0346	0346_flooring_knowledge_customer_lead_qty.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0347	0347_flooring_knowledge_customer_lead_ft.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0348	0348_flooring_knowledge_customer_trail_ft.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0349	0349_flooring_knowledge_customer_trail_qty.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0350	0350_flooring_knowledge_boxed_rate.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0351	0351_flooring_knowledge_tile_rate.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0352	0352_flooring_knowledge_builder_tile_rate.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0353	0353_flooring_knowledge_ai_tile_rate.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0354	0354_flooring_knowledge_tile_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0355	0355_flooring_knowledge_po_tile_rate.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0356	0356_flooring_knowledge_po_hs_rate.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0357	0357_flooring_knowledge_picker_tile_rate.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0358	0358_flooring_knowledge_picker_hs_rate.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0359	0359_flooring_knowledge_picker_hs_swap.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0360	0360_flooring_knowledge_picker_tile_swap.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0361	0361_flooring_knowledge_picker_hs_cost.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0362	0362_flooring_knowledge_picker_tile_cost.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0363	0363_flooring_knowledge_po_tile_carton_cost.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0364	0364_flooring_knowledge_picker_clearance.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0365	0365_flooring_knowledge_po_print_carton_cost.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0366	0366_flooring_knowledge_order_plan_boxed.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0367	0367_flooring_knowledge_picker_cost_unit.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0368	0368_flooring_knowledge_job_purchasing_boxed.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0369	0369_flooring_knowledge_warehouse_queue_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0370	0370_flooring_knowledge_job_scope_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0371	0371_flooring_knowledge_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0372	0372_flooring_knowledge_job_materials_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0373	0373_flooring_knowledge_wo_editor_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0374	0374_flooring_knowledge_job_materials_gap_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0375	0375_flooring_knowledge_incoming_delivery_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0376	0376_flooring_knowledge_estimate_office_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0377	0377_flooring_knowledge_builder_collapsed_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0378	0378_flooring_knowledge_guided_review_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0379	0379_flooring_knowledge_snapshot_seed_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0380	0380_flooring_knowledge_line_measurements_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0381	0381_flooring_knowledge_guided_review_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0382	0382_flooring_knowledge_builder_collapsed_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0383	0383_flooring_knowledge_linemeasurements_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0384	0384_flooring_knowledge_estimate_office_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0385	0385_flooring_knowledge_job_scope_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0386	0386_flooring_knowledge_installation_wo_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0387	0387_flooring_knowledge_wo_editor_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0388	0388_flooring_knowledge_job_scope_order_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0389	0389_flooring_knowledge_warehouse_queue_order_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0390	0390_flooring_knowledge_job_materials_order_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0391	0391_flooring_knowledge_estimate_order_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0392	0392_flooring_knowledge_incoming_delivery_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0393	0393_flooring_knowledge_wo_editor_order_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0394	0394_flooring_knowledge_estimate_office_order_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0395	0395_flooring_knowledge_builder_collapsed_order_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0396	0396_flooring_knowledge_guided_review_order_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0397	0397_flooring_knowledge_linemeasurements_order_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0398	0398_flooring_knowledge_builder_expanded_pad_order_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0399	0399_flooring_knowledge_builder_expanded_tile_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0400	0400_flooring_knowledge_guided_estimate_tile_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0401	0401_flooring_knowledge_guided_running_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0402	0402_flooring_knowledge_guided_running_takeoff_order_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0403	0403_flooring_knowledge_guided_pad_takeoff_order_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0404	0404_flooring_knowledge_guided_extra_takeoff_order_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0405	0405_flooring_knowledge_job_materials_gap_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0406	0406_flooring_knowledge_job_materials_excess_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0407	0407_flooring_knowledge_job_materials_arrived_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0408	0408_flooring_knowledge_incoming_arrived_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0409	0409_flooring_knowledge_incoming_arrived_order_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0410	0410_flooring_knowledge_incoming_outstanding_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0411	0411_flooring_knowledge_incoming_outstanding_order_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0412	0412_flooring_knowledge_job_materials_outstanding_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0413	0413_flooring_knowledge_job_materials_outstanding_order_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0414	0414_flooring_knowledge_guided_extra_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0415	0415_flooring_knowledge_guided_review_takeoff_order_pad_roll.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0416	0416_flooring_knowledge_guided_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0417	0417_flooring_knowledge_builder_expanded_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0418	0418_flooring_knowledge_builder_collapsed_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0419	0419_flooring_knowledge_estimate_office_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0420	0420_flooring_knowledge_wo_editor_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0421	0421_flooring_knowledge_installation_wo_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0422	0422_flooring_knowledge_estimate_order_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0423	0423_flooring_knowledge_job_materials_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0424	0424_flooring_knowledge_warehouse_queue_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0425	0425_flooring_knowledge_staging_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0426	0426_flooring_knowledge_incoming_delivery_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0427	0427_flooring_knowledge_incoming_delivery_arrived_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0428	0428_flooring_knowledge_incoming_delivery_outstanding_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0429	0429_flooring_knowledge_job_materials_gap_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0430	0430_flooring_knowledge_job_materials_excess_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0431	0431_flooring_knowledge_job_materials_arrived_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0432	0432_flooring_knowledge_job_materials_outstanding_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0433	0433_flooring_knowledge_job_scope_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0434	0434_flooring_knowledge_po_print_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0435	0435_flooring_knowledge_po_builder_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0436	0436_flooring_knowledge_line_measurements_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0437	0437_flooring_knowledge_po_plan_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0438	0438_flooring_knowledge_guided_review_pad_takeoff_order_carton.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0439	0439_flooring_knowledge_warehouse_customer_order_cuts.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0440	0440_flooring_knowledge_office_customer_order_cuts.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0441	0441_flooring_knowledge_office_customer_order_email_cuts.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0442	0442_flooring_knowledge_office_customer_order_invoice_cuts.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0443	0443_flooring_knowledge_office_customer_order_invoice_unit.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0444	0444_flooring_knowledge_office_customer_order_invoice_rate.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0445	0445_flooring_knowledge_warehouse_incoming_short_mixed.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0446	0446_flooring_knowledge_office_po_short_email_mixed.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0447	0447_flooring_knowledge_warehouse_incoming_short_toast_mixed.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0448	0448_flooring_knowledge_warehouse_reorder_remnant_mixed.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0449	0449_flooring_knowledge_warehouse_stock_po_remnant_mixed.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0450	0450_flooring_knowledge_warehouse_inventory_on_hand_mixed.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0451	0451_flooring_knowledge_warehouse_customer_order_on_hand_mixed.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0452	0452_flooring_knowledge_office_customer_order_on_hand_mixed.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0453	0453_flooring_knowledge_warehouse_inventory_list_on_hand_mixed.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0454	0454_flooring_knowledge_catalog_picker_on_hand_mixed.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0455	0455_flooring_knowledge_quick_lines_on_hand_mixed.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0456	0456_flooring_knowledge_job_materials_on_hand_mixed.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0457	0457_flooring_knowledge_reports_products_on_hand_mixed.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0458	0458_flooring_knowledge_warehouse_inventory_available_mixed.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
0459	0459_flooring_knowledge_warehouse_inventory_reserved_mixed.sql	UPDATE	Customer / portal / print project details strip wrap / carton-coverage TBD / qty TBD / not-taped-sq-ft identity from Guided takeoff notes — those stamps stay in stored job_description so the crew still sees How many vs l
